date,kota_pct,nongsa_pct,is_simulated,is_forecast,kota_lower,kota_upper,nongsa_lower,nongsa_upper
2024-01-01,99.52,100.9,True,False,,,,
2024-01-02,99.7,100.07,True,False,,,,
2024-01-03,99.35,99.92,True,False,,,,
2024-01-04,99.0,99.78,True,False,,,,
2024-01-05,98.67,99.64,True,False,,,,
2024-01-06,98.88,99.5,True,False,,,,
2024-01-07,99.08,98.71,True,False,,,,
2024-01-08,98.74,97.65,True,False,,,,
2024-01-09,98.38,96.98,True,False,,,,
2024-01-10,98.59,95.97,True,False,,,,
2024-01-11,98.24,95.36,True,False,,,,
2024-01-12,97.93,95.35,True,False,,,,
2024-01-13,97.61,94.76,True,False,,,,
2024-01-14,97.85,94.19,True,False,,,,
2024-01-15,98.08,94.22,True,False,,,,
2024-01-16,97.74,93.58,True,False,,,,
2024-01-17,97.41,93.0,True,False,,,,
2024-01-18,97.65,92.41,True,False,,,,
2024-01-19,97.88,92.49,True,False,,,,
2024-01-20,97.55,92.58,True,False,,,,
2024-01-21,96.8,92.07,True,False,,,,
2024-01-22,96.45,91.53,True,False,,,,
2024-01-23,96.15,91.64,True,False,,,,
2024-01-24,95.44,91.12,True,False,,,,
2024-01-25,95.18,90.57,True,False,,,,
2024-01-26,95.49,89.75,True,False,,,,
2024-01-27,95.27,89.92,True,False,,,,
2024-01-28,95.57,89.42,True,False,,,,
2024-01-29,94.88,89.0,True,False,,,,
2024-01-30,94.67,88.6,True,False,,,,
2024-01-31,94.43,88.14,True,False,,,,
2024-02-01,93.05,88.18,True,False,,,,
2024-02-02,92.88,87.66,True,False,,,,
2024-02-03,93.09,87.25,True,False,,,,
2024-02-04,93.02,86.81,True,False,,,,
2024-02-05,92.86,86.33,True,False,,,,
2024-02-06,92.8,85.92,True,False,,,,
2024-02-07,92.87,86.01,True,False,,,,
2024-02-08,93.07,85.81,True,False,,,,
2024-02-09,93.27,86.83,True,False,,,,
2024-02-10,93.1,86.38,True,False,,,,
2024-02-11,92.99,85.95,True,False,,,,
2024-02-12,92.88,86.05,True,False,,,,
2024-02-13,92.69,85.62,True,False,,,,
2024-02-14,92.5,85.21,True,False,,,,
2024-02-15,92.31,84.82,True,False,,,,
2024-02-16,93.99,84.41,True,False,,,,
2024-02-17,93.8,84.01,True,False,,,,
2024-02-18,93.71,84.16,True,False,,,,
2024-02-19,95.35,84.31,True,False,,,,
2024-02-20,95.21,83.96,True,False,,,,
2024-02-21,95.72,83.57,True,False,,,,
2024-02-22,95.51,83.18,True,False,,,,
2024-02-23,97.09,82.86,True,False,,,,
2024-02-24,96.8,82.5,True,False,,,,
2024-02-25,96.63,83.62,True,False,,,,
2024-02-26,96.36,83.27,True,False,,,,
2024-02-27,96.1,83.0,True,False,,,,
2024-02-28,96.07,83.18,True,False,,,,
2024-02-29,96.55,82.86,True,False,,,,
2024-03-01,96.27,82.45,True,False,,,,
2024-03-02,95.94,82.12,True,False,,,,
2024-03-03,95.68,81.72,True,False,,,,
2024-03-04,95.43,81.34,True,False,,,,
2024-03-05,95.18,80.97,True,False,,,,
2024-03-06,95.01,80.61,True,False,,,,
2024-03-07,94.78,80.34,True,False,,,,
2024-03-08,94.55,79.99,True,False,,,,
2024-03-09,94.4,79.66,True,False,,,,
2024-03-10,94.18,79.42,True,False,,,,
2024-03-11,93.91,79.1,True,False,,,,
2024-03-12,93.71,78.87,True,False,,,,
2024-03-13,93.45,78.58,True,False,,,,
2024-03-14,93.33,78.5,True,False,,,,
2024-03-15,93.15,78.22,True,False,,,,
2024-03-16,92.91,78.01,True,False,,,,
2024-03-17,92.8,77.82,True,False,,,,
2024-03-18,92.64,77.55,True,False,,,,
2024-03-19,92.54,77.32,True,False,,,,
2024-03-20,92.38,77.07,True,False,,,,
2024-03-21,92.23,76.82,True,False,,,,
2024-03-22,92.14,76.59,True,False,,,,
2024-03-23,92.0,76.36,True,False,,,,
2024-03-24,91.92,76.14,True,False,,,,
2024-03-25,91.84,76.0,True,False,,,,
2024-03-26,91.77,75.86,True,False,,,,
2024-03-27,91.56,75.66,True,False,,,,
2024-03-28,91.5,75.45,True,False,,,,
2024-03-29,91.37,75.26,True,False,,,,
2024-03-30,91.31,75.09,True,False,,,,
2024-03-31,91.25,74.99,True,False,,,,
2024-04-01,91.31,75.02,True,False,,,,
2024-04-02,91.33,74.89,True,False,,,,
2024-04-03,91.36,74.93,True,False,,,,
2024-04-04,91.41,74.96,True,False,,,,
2024-04-05,91.42,75.0,True,False,,,,
2024-04-06,91.42,75.03,True,False,,,,
2024-04-07,91.42,74.93,True,False,,,,
2024-04-08,91.44,74.79,True,False,,,,
2024-04-09,91.44,74.66,True,False,,,,
2024-04-10,91.44,74.7,True,False,,,,
2024-04-11,91.38,74.74,True,False,,,,
2024-04-12,91.33,74.62,True,False,,,,
2024-04-13,91.33,74.66,True,False,,,,
2024-04-14,91.34,74.7,True,False,,,,
2024-04-15,91.39,74.61,True,False,,,,
2024-04-16,91.41,74.66,True,False,,,,
2024-04-17,91.46,74.49,True,False,,,,
2024-04-18,91.47,74.54,True,False,,,,
2024-04-19,91.47,74.59,True,False,,,,
2024-04-20,91.52,74.46,True,False,,,,
2024-04-21,91.46,74.38,True,False,,,,
2024-04-22,91.47,74.3,True,False,,,,
2024-04-23,91.49,74.35,True,False,,,,
2024-04-24,91.43,74.23,True,False,,,,
2024-04-25,91.48,74.29,True,False,,,,
2024-04-26,91.53,74.34,True,False,,,,
2024-04-27,91.58,74.39,True,False,,,,
2024-04-28,91.63,74.44,True,False,,,,
2024-04-29,91.64,74.32,True,False,,,,
2024-04-30,91.64,74.24,True,False,,,,
2024-05-01,91.71,74.24,True,False,,,,
2024-05-02,92.06,74.46,True,False,,,,
2024-05-03,92.4,74.35,True,False,,,,
2024-05-04,92.44,73.99,True,False,,,,
2024-05-05,92.77,74.0,True,False,,,,
2024-05-06,93.09,74.22,True,False,,,,
2024-05-07,93.06,74.22,True,False,,,,
2024-05-08,92.95,74.44,True,False,,,,
2024-05-09,93.17,74.08,True,False,,,,
2024-05-10,93.48,74.36,True,False,,,,
2024-05-11,93.36,74.25,True,False,,,,
2024-05-12,93.32,74.46,True,False,,,,
2024-05-13,93.62,74.67,True,False,,,,
2024-05-14,93.92,74.87,True,False,,,,
2024-05-15,93.79,74.85,True,False,,,,
2024-05-16,93.83,75.11,True,False,,,,
2024-05-17,94.12,75.09,True,False,,,,
2024-05-18,94.4,75.06,True,False,,,,
2024-05-19,94.67,75.03,True,False,,,,
2024-05-20,94.93,75.22,True,False,,,,
2024-05-21,94.84,75.19,True,False,,,,
2024-05-22,94.75,75.45,True,False,,,,
2024-05-23,94.67,75.62,True,False,,,,
2024-05-24,94.64,75.23,True,False,,,,
2024-05-25,94.56,75.09,True,False,,,,
2024-05-26,94.82,74.95,True,False,,,,
2024-05-27,94.98,75.14,True,False,,,,
2024-05-28,94.82,75.11,True,False,,,,
2024-05-29,95.08,75.37,True,False,,,,
2024-05-30,95.04,75.33,True,False,,,,
2024-05-31,95.19,75.58,True,False,,,,
2024-06-01,95.19,75.8,True,False,,,,
2024-06-02,95.19,76.02,True,False,,,,
2024-06-03,95.15,76.23,True,False,,,,
2024-06-04,95.15,76.44,True,False,,,,
2024-06-05,95.15,76.65,True,False,,,,
2024-06-06,95.12,76.86,True,False,,,,
2024-06-07,95.08,77.05,True,False,,,,
2024-06-08,95.05,77.25,True,False,,,,
2024-06-09,95.02,77.42,True,False,,,,
2024-06-10,94.99,77.59,True,False,,,,
2024-06-11,94.99,77.75,True,False,,,,
2024-06-12,94.99,77.91,True,False,,,,
2024-06-13,94.96,78.07,True,False,,,,
2024-06-14,94.97,78.21,True,False,,,,
2024-06-15,94.94,78.36,True,False,,,,
2024-06-16,94.91,78.5,True,False,,,,
2024-06-17,94.92,78.64,True,False,,,,
2024-06-18,94.92,78.77,True,False,,,,
2024-06-19,94.93,78.9,True,False,,,,
2024-06-20,94.94,79.02,True,False,,,,
2024-06-21,94.91,79.16,True,False,,,,
2024-06-22,94.88,79.29,True,False,,,,
2024-06-23,94.89,79.42,True,False,,,,
2024-06-24,94.89,79.53,True,False,,,,
2024-06-25,94.9,79.64,True,False,,,,
2024-06-26,94.87,79.74,True,False,,,,
2024-06-27,94.85,79.84,True,False,,,,
2024-06-28,94.82,79.94,True,False,,,,
2024-06-29,94.83,80.05,True,False,,,,
2024-06-30,94.8,80.14,True,False,,,,
2024-07-01,94.78,80.22,True,False,,,,
2024-07-02,94.76,80.31,True,False,,,,
2024-07-03,94.73,80.05,True,False,,,,
2024-07-04,94.71,80.14,True,False,,,,
2024-07-05,94.69,80.23,True,False,,,,
2024-07-06,94.67,80.31,True,False,,,,
2024-07-07,94.65,80.39,True,False,,,,
2024-07-08,94.63,80.47,True,False,,,,
2024-07-09,94.49,80.55,True,False,,,,
2024-07-10,94.48,80.63,True,False,,,,
2024-07-11,94.46,80.7,True,False,,,,
2024-07-12,94.45,80.77,True,False,,,,
2024-07-13,94.43,80.84,True,False,,,,
2024-07-14,94.42,80.9,True,False,,,,
2024-07-15,94.41,80.97,True,False,,,,
2024-07-16,94.39,81.03,True,False,,,,
2024-07-17,94.38,81.09,True,False,,,,
2024-07-18,94.37,81.15,True,False,,,,
2024-07-19,94.36,81.21,True,False,,,,
2024-07-20,94.35,81.26,True,False,,,,
2024-07-21,94.33,81.32,True,False,,,,
2024-07-22,94.32,81.37,True,False,,,,
2024-07-23,94.31,81.42,True,False,,,,
2024-07-24,94.3,81.47,True,False,,,,
2024-07-25,94.29,81.51,True,False,,,,
2024-07-26,94.28,81.56,True,False,,,,
2024-07-27,94.27,81.61,True,False,,,,
2024-07-28,94.27,81.65,True,False,,,,
2024-07-29,94.26,81.69,True,False,,,,
2024-07-30,94.25,81.73,True,False,,,,
